Code,Classification,Cause,Measures to take when an alert occurs,Estimated abnormal parts,Correction,Note,Solution,Faulty part isolation DIPSW,Control during the detachment
C-1547,PB: PB abnormality,The glue apply roller temperature sensor (TH1) detects an abnormal high temperature.,when an alert occurs The main body and the option stop immediately.,• AC drive board (ACDB) • Glue tank heater (H1) • Glue apply roller heater (H2) • PB control board (PBCB) • PB drive board (PBDB1) • Glue apply roller motor (M32) • Glue apply roller temperature sensor (TH1),"WARNING Be sure to select the DIPSW3-1 to 0 after you replace the defective parts. If DIPSW3-1 is selected to 0 before defective parts are fixed, it possibly cause a fire.","- The message """"Please call service"""" is displayed on the panel.","1. Check H2, and clean or repair it when there is any abnormality. 2. Check the connector connection and the wiring between PBCB and TH1, and repair it when there is any abnormality. 3. Check the connector connection and the wiring between ACDB and H1, H2, and repair it when there is any abnormality. 4. Check the installation conditions of H1, H2 and the temperature sensor, and repair or replace it when there is any abnormality. (Wiring diagram: PB-503: 27-Q, 9-U) 5. Replace TH1. 6. Replace H2. 7. Replace ACDB. (Connector layout drawing in board : L.2.24.2 AC drive board (ACDB)) 8. Replace PBCB. (Connector layout drawing in board : L.2.24.1 PB control board (PBCB))",DIPSW 7-7 Control while detached The use of the PB is unavailable.,
C-1548,PB: PB abnormality,The glue tank temperature sensor/Up (TH2) detects an abnormal high temperature.,when an alert occurs The main body and the option stop immediately.,• AC drive board (ACDB) • Glue tank heater (H1) • Glue apply roller heater (H2) • PB control board (PBCB) • PB drive board (PBDB1) • Glue apply roller motor (M32) • Glue tank temperature sensor/Up (TH2),"WARNING Be sure to select the DIPSW3-1 to 0 after you replace the defective parts. If DIPSW3-1 is selected to 0 before defective parts are fixed, it possibly cause a fire.","- The message """"Please call service"""" is displayed on the panel.","1. Check H1, and clean or repair it when there is any abnormality. 2. Check the connector connection and the wiring between PBCB and TH2 and repair it when there is any abnormality. 3. Check the connector connection and the wiring between ACDB and H1, H2, and repair it when there is any abnormality. 4. Check the installation conditions of H1, H2 and the temperature sensor, and repair or replace it when there is any abnormality. (Wiring diagram: PB-503: 27-Q, 9-U) 5. Replace TH2. 6. Replace H1. 7. Replace ACDB. (Connector layout drawing in board : L.2.24.2 AC drive board (ACDB)) 8. Replace PBCB. (Connector layout drawing in board : L.2.24.1 PB control board (PBCB))",DIPSW 7-7 Control while detached The use of the PB is unavailable.,
C-1549,PB: PB abnormality,The glue tank temperature sensor/Md (TH3) detects an abnormal high temperature.,when an alert occurs The main body and the option stop immediately.,• AC drive board (ACDB) • Glue tank heater (H1) • Glue apply roller heater (H2) • PB control board (PBCB) • PB drive board (PBDB1) • Glue apply roller motor (M32) • Glue tank temperature sensor/Md (TH3),"WARNING Be sure to select the DIPSW3-1 to 0 after you replace the defective parts. If DIPSW3-1 is selected to 0 before defective parts are fixed, it possibly cause a fire.","- The message """"Please call service"""" is displayed on the panel.","1. Check H1, and clean or repair it when there is any abnormality. 2. Check the connector connection and the wiring between PBCB and TH3 and repair it when there is any abnormality. 3. Check the connector connection and the wiring between ACDB and H1, H2, and repair it when there is any abnormality. 4. Check the installation conditions of H1, H2 and the temperature sensor, and repair or replace it when there is any abnormality. (Wiring diagram: PB-503: 27-Q, 10-U) 5. Replace TH3. 6. Replace H1. 7. Replace ACDB. (Connector layout drawing in board : L.2.24.2 AC drive board (ACDB)) 8. Replace PBCB. (Connector layout drawing in board : L.2.24.1 PB control board (PBCB))",DIPSW 7-7 Control while detached The use of the PB is unavailable.,
C-1550,PB: PB abnormality,The glue tank temperature sensor/Lw (TH4) detects an abnormal high temperature.,when an alert occurs The main body and the option stop immediately.,• AC drive board (ACDB) • Glue tank heater (H1) • Glue apply roller heater (H2) • PB control board (PBCB) • PB drive board (PBDB1) • Glue apply roller motor (M32) • Glue tank temperature sensor/Lw (TH4),"WARNING Be sure to select the DIPSW3-1 to 0 after you replace the defective parts. If DIPSW3-1 is selected to 0 before defective parts are fixed, it possibly cause a fire.","- The message """"Please call service"""" is displayed on the panel.","1. Check H1, and clean or repair it when there is any abnormality. 2. Check the connector connection and the wiring between PBCB and TH4 and repair it when there is any abnormality. 3. Check the connector connection and the wiring between ACDB and H1, H2 and repair it when there is any abnormality. 4. Check the installation conditions of H1, H2 and the temperature sensor, and repair or replace it when there is any abnormality. (Wiring diagram: PB-503: 27-Q, 10-U) 5. Replace TH4. 6. Replace H1. 7. Replace ACDB. (Connector layout drawing in board : L.2.24.2 AC drive board (ACDB)) 8. Replace PBCB. (Connector layout drawing in board : L.2.24.1 PB control board (PBCB))",DIPSW 7-7 Control while detached The use of the PB is unavailable.,
C-1551,PB: PB abnormality,The glue apply roller temperature sensor (TH1) detects an abnormal high temperature (hardware) TH1 detects an abnormal high temperature of the glue apply roller.,when an alert occurs The main body and the option stop immediately.,• AC drive board (ACDB) • Glue tank heater (H1) • Glue apply roller heater (H2) • PB control board (PBCB) • PB drive board (PBDB1) • Glue apply roller motor (M32) • Glue apply roller temperature sensor (TH1),"WARNING Be sure to select the DIPSW3-1 to 0 after you replace the defective parts. If DIPSW3-1 is selected to 0 before defective parts are fixed, it possibly cause a fire.","- The message """"Please call service"""" is displayed on the panel.","1. Check H2, and clean or repair it when there is any abnormality. 2. Check the connector connection and the wiring between PBCB and TH1, and repair it when there is any abnormality. 3. Check the connector connection and the wiring between ACDB and H1, H2 and repair it when there is any abnormality. 4. Check the installation conditions of H1, H2 and the temperature sensor, and repair or replace it when there is any abnormality. (Wiring diagram: PB-503: 27-Q, 9-U) 5. Replace TH1. 6. Replace H2. 7. Replace ACDB. (Connector layout drawing in board : L.2.24.2 AC drive board (ACDB)) 8. Replace PBCB. (Connector layout drawing in board : L.2.24.1 PB control board (PBCB))",DIPSW 7-7 Control while detached The use of the PB is unavailable.,
C-1552,PB: PB abnormality,The glue tank temperature sensor/Up (TH2) detects an abnormal high temperature (hardware). TH2 detects an abnormal high temperature of the glue tank.,when an alert occurs The main body and the option stop immediately.,• AC drive board (ACDB) • Glue tank heater (H1) • Glue apply roller heater (H2) • PB control board (PBCB) • PB drive board (PBDB1) • Glue apply roller motor (M32) • Glue tank temperature sensor/Up (TH2),"WARNING Be sure to select the DIPSW3-1 to 0 after you replace the defective parts. If DIPSW3-1 is selected to 0 before defective parts are fixed, it possibly cause a fire.","- The message """"Please call service"""" is displayed on the panel.","1. Check H1, and clean or repair it when there is any abnormality. 2. Check the connector connection and the wiring between PBCB and TH2 and repair it when there is any abnormality. 3. Check the connector connection and the wiring between ACDB and H1, H2 and repair it when there is any abnormality. 4. Check the installation conditions of H1, H2 and the temperature sensor, and repair or replace it when there is any abnormality. (Wiring diagram: PB-503: 27-Q, 9-U) 5. Replace TH2. 6. Replace H1. 7. Replace ACDB. (Connector layout drawing in board : L.2.24.2 AC drive board (ACDB)) 8. Replace PBCB. (Connector layout drawing in board : L.2.24.1 PB control board (PBCB))",DIPSW 7-7 Control while detached The use of the PB is unavailable.,
C-1553,PB: PB abnormality,The glue tank temperature sensor/Md (TH3) detects an abnormal high temperature (hardware). TH3 detects an abnormal high temperature of the glue tank.,when an alert occurs The main body and the option stop immediately.,• AC drive board (ACDB) • Glue tank heater (H1) • Glue apply roller heater (H2) • PB control board (PBCB) • PB drive board (PBDB1) • Glue apply roller motor (M32) • Glue tank temperature sensor/Md (TH3),"WARNING Be sure to select the DIPSW3-1 to 0 after you replace the defective parts. If DIPSW3-1 is selected to 0 before defective parts are fixed, it possibly cause a fire.","- The message """"Please call service"""" is displayed on the panel.","1. Check H1, and clean or repair it when there is any abnormality. 2. Check the connector connection and the wiring between PBCB and TH3, and repair it when there is any abnormality. 3. Check the connector connection and the wiring between ACDB and H1, H2 and repair it when there is any abnormality. 4. Check the installation conditions of H1, H2 and the temperature sensor, and repair or replace it when there is any abnormality. (Wiring diagram: PB-503: 27-Q, 10-U) 5. Replace TH3. 6. Replace H1. 7. Replace ACDB. (Connector layout drawing in board : L.2.24.2 AC drive board (ACDB)) 8. Replace PBCB. (Connector layout drawing in board : L.2.24.1 PB control board (PBCB))",DIPSW 7-7 Control while detached The use of the PB is unavailable.,
C-1554,PB: PB abnormality,The glue tank temperature sensor/Lw (TH4) detects an abnormal high temperature (hardware). TH4 detects an abnormal high temperature of the glue tank.,when an alert occurs The main body and the option stop immediately.,• AC drive board (ACDB) • Glue tank heater (H1) • Glue apply roller heater (H2) • PB control board (PBCB) • PB drive board (PBDB1) • Glue apply roller motor (M32) • Glue tank temperature sensor/Lw (TH4),"WARNING Be sure to select the DIPSW3-1 to 0 after you replace the defective parts. If DIPSW3-1 is selected to 0 before defective parts are fixed, it possibly cause a fire.","- The message """"Please call service"""" is displayed on the panel.","1. Check H1, and clean or repair it when there is any abnormality. 2. Check the connector connection and the wiring between PBCB and TH4 and repair it when there is any abnormality. 3. Check the connector connection and the wiring between ACDB and H1, H2 and repair it when there is any abnormality. 4. Check the installation conditions of H1, H2 and the temperature sensor, and repair or replace it when there is any abnormality. (Wiring diagram: PB-503: 27-Q, 10-U) 5. Replace TH4. 6. Replace H1. 7. Replace ACDB. (Connector layout drawing in board : L.2.24.2 AC drive board (ACDB)) 8. Replace PBCB. (Connector layout drawing in board : L.2.24.1 PB control board (PBCB))",DIPSW 7-7 Control while detached The use of the PB is unavailable.,
C-1555,PB: PB abnormality,"After warming-up is completed, the glue apply roller temperature sensor (TH1) detects an abnormal low temperature.",when an alert occurs The main body and the option stop immediately.,• AC drive board (ACDB) • Glue tank heater (H1) • Glue apply roller heater (H2) • PB control board (PBCB) • PB drive board (PBDB1) • Glue apply roller motor (M32) • Glue apply roller temperature sensor (TH1),"WARNING Be sure to select the DIPSW3-1 to 0 after you replace the defective parts. If DIPSW3-1 is selected to 0 before defective parts are fixed, it possibly cause a fire.","- The message """"Please call service"""" is displayed on the panel.","1. Check H2, and clean or repair it when there is any abnormality. 2. Check the connector connection and the wiring between PBCB and TH1, and repair it when there is any abnormality. 3. Check the connector connection and the wiring between ACDB and H1, H2 and repair it when there is any abnormality. 4. Check the installation conditions of H1, H2 and the temperature sensor, and repair or replace it when there is any abnormality. (Wiring diagram: PB-503: 27-Q, 9-U) 5. Replace TH1. 6. Replace H2. 7. Replace ACDB. (Connector layout drawing in board : L.2.24.2 AC drive board (ACDB)) 8. Replace PBCB. (Connector layout drawing in board : L.2.24.1 PB control board (PBCB))",DIPSW 7-7 Control while detached The use of the PB is unavailable.,
C-1556,PB: PB abnormality,"When the glue supply control temperature is reached, the glue tank temperature sensor/Up (TH2) detects an abnormal low temperature.",when an alert occurs The main body and the option stop immediately.,• AC drive board (ACDB) • Glue tank heater (H1) • Glue apply roller heater (H2) • PB control board (PBCB) • PB drive board (PBDB1) • Glue apply roller motor (M32) • Glue tank temperature sensor/Up (TH2),"WARNING Be sure to select the DIPSW3-1 to 0 after you replace the defective parts. If DIPSW3-1 is selected to 0 before defective parts are fixed, it possibly cause a fire.","- The message """"Please call service"""" is displayed on the panel.","1. Check H1, and clean or repair it when there is any abnormality. 2. Check the connector connection and the wiring between PBCB and TH2 and repair it when there is any abnormality. 3. Check the connector connection and the wiring between ACDB and H1, H2 and repair it when there is any abnormality. 4. Check the installation conditions of H1, H2 and the temperature sensor, and repair or replace it when there is any abnormality. (Wiring diagram: PB-503: 27-Q, 9-U) 5. Replace TH2. 6. Replace H1. 7. Replace ACDB. (Connector layout drawing in board : L.2.24.2 AC drive board (ACDB)) 8. Replace PBCB. (Connector layout drawing in board : L.2.24.1 PB control board (PBCB))",DIPSW 7-7 Control while detached The use of the PB is unavailable.,
C-1557,PB: PB abnormality,"After warming-up is completed, the glue tank temperature sensor (TH3) detects an abnormal low temperature.",when an alert occurs The main body and the option stop immediately.,• AC drive board (ACDB) • Glue tank heater (H1) • Glue apply roller heater (H2) • PB control board (PBCB) • PB drive board (PBDB1) • Glue apply roller motor (M32) • Glue tank temperature sensor/Md (TH3),"WARNING Be sure to select the DIPSW3-1 to 0 after you replace the defective parts. If DIPSW3-1 is selected to 0 before defective parts are fixed, it possibly cause a fire.","- The message """"Please call service"""" is displayed on the panel.","1. Check H1, and clean or repair it when there is any abnormality. 2. Check the connector connection and the wiring between PBCB and TH3, and repair it when there is any abnormality. 3. Check the connector connection and the wiring between ACDB and H1, H2 and repair it when there is any abnormality. 4. Check the installation conditions of H1, H2 and the temperature sensor, and repair or replace it when there is any abnormality. (Wiring diagram: PB-503: 27-Q, 10-U) 5. Replace TH3. 6. Replace H1. 7. Replace ACDB. (Connector layout drawing in board : L.2.24.2 AC drive board (ACDB)) 8. Replace PBCB. (Connector layout drawing in board : L.2.24.1 PB control board (PBCB))",DIPSW 7-7 Control while detached The use of the PB is unavailable.,
C-1558,PB: PB abnormality,"After warming-up is completed, the glue tank temperature sensor (TH4) detects an abnormal low temperature.",when an alert occurs The main body and the option stop immediately.,• AC drive board (ACDB) • Glue tank heater (H1) • Glue apply roller heater (H2) • PB control board (PBCB) • PB drive board (PBDB1) • Glue apply roller motor (M32) • Glue tank temperature sensor/Lw (TH4),"WARNING Be sure to select the DIPSW3-1 to 0 after you replace the defective parts. If DIPSW3-1 is selected to 0 before defective parts are fixed, it possibly cause a fire.","- The message """"Please call service"""" is displayed on the panel.","1. Check H1, and clean or repair it when there is any abnormality. 2. Check the connector connection and the wiring between PBCB and TH4 and repair it when there is any abnormality. 3. Check the connector connection and the wiring between ACDB and H1, H2 and repair it when there is any abnormality. 4. Check the installation conditions of H1, H2 and the temperature sensor, and repair or replace it when there is any abnormality. (Wiring diagram: PB-503: 27-Q, 10-U) 5. Replace TH4. 6. Replace H1. 7. Replace ACDB. (Connector layout drawing in board : L.2.24.2 AC drive board (ACDB)) 8. Replace PBCB. (Connector layout drawing in board : L.2.24.1 PB control board (PBCB))",DIPSW 7-7 Control while detached The use of the PB is unavailable.,
C-1559,PB: PB abnormality,"The glue apply roller temperature sensor (TH1) detects an abnormal low temperature (hardware). After warming-up is completed, TH1 detects the glue apply roller error signal of the abnormal low temperature.",when an alert occurs The main body and the option stop immediately.,• AC drive board (ACDB) • Glue tank heater (H1) • Glue apply roller heater (H2) • PB control board (PBCB) • PB drive board (PBDB1) • Glue apply roller motor (M32) • Glue apply roller temperature sensor (TH1),"WARNING Be sure to select the DIPSW3-1 to 0 after you replace the defective parts. If DIPSW3-1 is selected to 0 before defective parts are fixed, it possibly cause a fire.","- The message """"Please call service"""" is displayed on the panel.","1. Check H2, and clean or repair it when there is any abnormality. 2. Check the connector connection and the wiring between PBCB and TH1, and repair it when there is any abnormality. 3. Check the connector connection and the wiring between ACDB and H1, H2, and repair it when there is any abnormality. 4. Check the installation conditions of H1, H2 and the temperature sensor, and repair or replace it when there is any abnormality. (Wiring diagram: PB-503: 27-Q, 9-U) 5. Replace TH1. 6. Replace H2. 7. Replace ACDB. (Connector layout drawing in board : L.2.24.2 AC drive board (ACDB)) 8. Replace PBCB. (Connector layout drawing in board : L.2.24.1 PB control board (PBCB))",DIPSW7-7 Control while detached The use of the PB is unavailable.,
C-1560,PB: PB abnormality,"The glue tank temperature sensor/Up (TH2) detects an abnormal low temperature (hardware). After glue supply control temperature is reached, TH2 detects the glue tank error signal of the abnormal low temperature.",when an alert occurs The main body and the option stop immediately.,• AC drive board (ACDB) • Glue tank heater (H1) • Glue apply roller heater (H2) • PB control board (PBCB) • PB drive board (PBDB1) • Glue apply roller motor (M32) • Glue tank temperature sensor/Up (TH2),"WARNING Be sure to select the DIPSW3-1 to 0 after you replace the defective parts. If DIPSW3-1 is selected to 0 before defective parts are fixed, it possibly cause a fire.","- The message """"Please call service"""" is displayed on the panel.","1. Check H1, and clean or repair it when there is any abnormality. 2. Check the connector connection and the wiring between PBCB and TH2, and repair it when there is any abnormality. 3. Check the connector connection and the wiring between ACDB and H1, H2, and repair it when there is any abnormality. 4. Check the installation conditions of H1, H2 and the temperature sensor, and repair or replace it when there is any abnormality. (Wiring diagram: PB-503: 27-Q, 9-U) 5. Replace TH2. 6. Replace H1. 7. Replace ACDB. (Connector layout drawing in board : L.2.24.2 AC drive board (ACDB)) 8. Replace PBCB. (Connector layout drawing in board : L.2.24.1 PB control board (PBCB))",DIPSW 7-7 Control while detached The use of the PB is unavailable.,
C-1561,PB: PB abnormality,"The glue tank temperature sensor/Md (TH3) detects an abnormal low temperature (hardware). After warming-up is completed, TH3 detects the glue tank error signal of the abnormal low temperature.",when an alert occurs The main body and the option stop immediately.,• AC drive board (ACDB) • Glue tank heater (H1) • Glue apply roller heater (H2) • PB control board (PBCB) • PB drive board (PBDB1) • Glue apply roller motor (M32) • Glue tank temperature sensor/Md (TH3),"WARNING Be sure to select the DIPSW3-1 to 0 after you replace the defective parts. If DIPSW3-1 is selected to 0 before defective parts are fixed, it possibly cause a fire.","- The message """"Please call service"""" is displayed on the panel.","1. Check H1, and clean or repair it when there is any abnormality. 2. Check the connector connection and the wiring between PBCB and TH3, and repair it when there is any abnormality. 3. Check the connector connection and the wiring between ACDB and H1, H2, and repair it when there is any abnormality. 4. Check the installation conditions of H1, H2 and the temperature sensor, and repair or replace it when there is any abnormality. (Wiring diagram: PB-503: 27-Q, 10-U) 5. Replace TH3. 6. Replace H1. 7. Replace ACDB. (Connector layout drawing in board : L.2.24.2 AC drive board (ACDB)) 8. Replace PBCB. (Connector layout drawing in board : L.2.24.1 PB control board (PBCB))",DIPSW7-7 Control while detached The use of the PB is unavailable,
C-1562,PB: PB abnormality,"The glue tank temperature sensor/Lw (TH4) detects an abnormal low temperature (hardware). After warming-up is completed, TH4 detects the glue tank error signal of the abnormal low temperature.",when an alert occurs The main body and the option stop immediately.,• AC drive board (ACDB) • Glue tank heater (H1) • Glue apply roller heater (H2) • PB control board (PBCB) • PB drive board (PBDB1) • Glue apply roller motor (M32) • Glue tank temperature sensor/Lw (TH4),"WARNING Be sure to select the DIPSW3-1 to 0 after you replace the defective parts. If DIPSW3-1 is selected to 0 before defective parts are fixed, it possibly cause a fire.","- The message """"Please call service"""" is displayed on the panel.","1. Check H1, and clean or repair it when there is any abnormality. 2. Check the connector connection and the wiring between PBCB and TH4 and repair it when there is any abnormality. 3. Check the connector connection and the wiring between ACDB and H1, H2, and repair it when there is any abnormality. 4. Check the installation conditions of H1, H2 and the temperature sensor, and repair or replace it when there is any abnormality. (Wiring diagram: PB-503: 27-Q, 10-U) 5. Replace TH4. 6. Replace H1. 7. Replace ACDB. (Connector layout drawing in board : L.2.24.2 AC drive board (ACDB)) 8. Replace PBCB. (Connector layout drawing in board : L.2.24.1 PB control board (PBCB))",DIPSW7-7 Control while detached The use of the PB is unavailable,
C-1565,PB: PB abnormality,Relay conveyance motor drive abnormality,when an alert occurs The main body and the option stop immediately.,• Relay conveyance motor (M92) • PB control board (PBCB) • PB drive board (PBDB1),,"- The message """"Please call service"""" is displayed on the panel.","1. Check the relay conveyance section, and clean or repair it when there is any abnormality. 2. Check the connector connection and the wiring between PBDB2 and M92, and repair it when there is any abnormality. 3. Check the IO Check (79-01) of M92 and the coupling of the gear, and repair or replace it when there is any abnormality. (Wiring diagram: PB-503: 23-V) 4. Replace M92. 5. Replace PBDB2. (Connector layout drawing in board : L.2.24.4 PB drive board/2 (PBDB2)) 6. Replace PBCB. (Connector layout drawing in board : L.2.24.1 PB control board (PBCB))",Control while detached,
C-1566,PB: PB abnormality,Relay conveyance exit motor drive abnormality A rotation error detection signal is detected for a specified period of time in the succession while the relay conveyance exit motor (M91) is driving.,when an alert occurs The main body and the option stop immediately.,• Relay conveyance exit motor (M91) • PB control board (PBCB) • PB drive board (PBDB1),,"- The message """"Please call service"""" is displayed on the panel.","1. Check the relay conveyance paper exit section, and clean or repair it when there is any abnormality. 2. Check the connector connection and the wiring between PBDB1 and M91, and repair it when there is any abnormality. 3. Check the connector connection and the wiring between PBDB2 and M91, and repair it when there is any abnormality. 4. Check the IO Check (79-02) of M91 and the coupling of the gear, and repair or replace it when there is any abnormality. (Wiring diagram: PB-503: 26-W) 5. Replace M91. 6. Replace PBDB2. (Connector layout drawing in board : L.2.24.4 PB drive board/2 (PBDB2)) 7. Replace PBDB1. (Connector layout drawing in board : L.2.24.3 PB drive board/1 (PBDB1)) 8. Replace PBCB. (Connector layout drawing in board : L.2.24.1 PB control board (PBCB))",Control while detached,
C-1567,PB: PB abnormality,Pellet supply pipe motor drive abnormality The pellet supply pipe has not completed the operations within a specified period of time after the pellet supply pipe motor (M33) becomes active.,when an alert occurs The main body and the option stop immediately.,• Pellet supply pipe motor (M33) • PB control board (PBCB) • PB drive board (PBDB1),,"- The message """"Please call service"""" is displayed on the panel.","1. Check the pellet supply section, and clean or repair it when there is any abnormality. 2. Check the connector connection and the wiring between PBDB1 and M33, and repair it when there is any abnormality. 3. Check the IO Check (79-04) and others of M33 and the coupling of the gear, and repair or replace it when there is any abnormality. (Wiring diagram: PB-503: 10-D) NOTE - The output check on the IO check mode has restrictive conditions. Check the IO check mode list before the output check. 4. Replace M33. 5. Replace PBDB1. (Connector layout drawing in board : L.2.24.3 PB drive board/1 (PBDB1)) 6. Replace PBCB. (Connector layout drawing in board : L.2.24.1 PB control board (PBCB))",Control while detached,
C-1620,SD: SD-513 abnormality,"After the conveyance route switch motor (M55) starts the home position search operation, the conveyance gate home sensor (PS75) does not become active within a specified period of time.",when an alert occurs The main body and the option stop immediately.,• Conveyance gate home sensor (PS75) • Conveyance route switch motor (M55) • SD drive board (PCB2) • SD control board (PCB1),Press the help key to activate and deactivate the sub power switch (SW2) of the main body.,"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.","1. Check the tri-fold paper exit gate drive section, and if there is any abnormality, clean or repair it. 2. Check the connector connection between PCB2 and M55, PCB1 and PS75, and the wiring. Then, repair them when there is any abnormality. (Wiring diagram: SD-513 (1/2): 5-N) (Wiring diagram: SD-513 (1/2): 15-B) 3. Check the connector connection between PCB2 and PCB1, and the wiring. Then repair it when there is any abnormality. 4. Check the IO Check (71-44) of M55 and the coupling of the gear, and repair or replace it when there is any abnormality. 5. Check the IO Check (71-42) of PS75 and the operation. Then repair or replace it when there is any abnormality. 6. Replace PS75. 7. Replace M55. 8. Replace PCB2. (Connector layout drawing in board: L.2.21.2 SD drive board (PCB2)) 9. Replace PCB1. (Connector layout drawing in board: L.2.21.1 SD control board (PCB1))","DIPSW7-2, DIPSW54-6",The use of multi tri-fold and the sub tray are unavailable.
C-1621,SD: SD-513 abnormality,"When the power is active, the trimmer shutter open close sensor (PS93) is inactive while the trimmer scraps box set sensor (PS48) is inactive. Alternatively, PS93 does not become active even after a specified period of time after PS48 becomes inactive.",when an alert occurs The main body and the option stop immediately.,• Trimmer scraps box set sensor (PS48) • Trimmer shutter open close sensor (PS93) • SD control board (PCB1),Press the help key to activate and deactivate the sub power switch (SW2) of the main body.,"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.","1. Check the setting position of the trimmer scraps box, and if there is any abnormality, clean or repair it. 2. Check if trimmer scraps are caught in the trimmer shutter. If there is any abnormality, clean or repair it. 3. Check the connector connection between PCB1, PS48 and PS93, and the wiring. Then, repair them when there is any abnormality. (Wiring diagram: SD-513 (2/2): 9-O, 10-O) 4. Check the IO Check (71-79) of PS48, IO Check (71-87) of PS93 and the operation, and repair or replace them when there is any abnormality. 5. Replace PS48 or PS93. 6. Replace PCB1. (Connector layout drawing in board: L.2.21.1 SD control board (PCB1))",DIPSW54-2,The use of SD is unavailable
C-1622,SD: SD-513/TU-503 abnormality,"While the slit scraps box set sensor (PS106) is inactive, the slitter shutter open close sensor (PS110) is inactive.",when an alert occurs The main body and the option stop immediately.,• Slit scraps box set sensor (PS106) • Slitter shutter open close sensor (PS110) • SD control board (PCB1),Press the help key to activate and deactivate the sub power switch (SW2) of the main body.,"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.","1. Check the setting position of the slit scraps box, and if there is any abnormality, clean or repair it. 2. Check the connector connection between PCB1, PS106 and PS110, and the wiring. Then, repair them when there is any abnormality. (Wiring diagram: SD-513 (1/2): 12-B, TU-503: 1-D) 3. Check the IO Check (71-28) of PS106, IO Check (71-91) of PS110 and the operation, and repair or replace them when there is any abnormality. 4. Replace PS106 or PS110. 5. Replace PCB1. (Connector layout drawing in board: L.2.21.1 SD control board (PCB1))",DIPSW54-2,The use of SD is unavailable
C-1623,SD: SD-513 abnormality,"After the booklet holding unit movement motor (M58) starts the home position search operation, the booklet holding unit home sensor (PS83) does not become active within a specified period of time.",when an alert occurs The main body and the option stop immediately.,• Booklet holding unit home sensor (PS83) • Booklet holding unit movement motor (M58) • SD drive board (PCB2) • SD control board (PCB1),Press the help key to activate and deactivate the sub power switch (SW2) of the main body.,- The output check on the IO check mode has restrictive conditions. Check the IO check mode list before the output check. 5. Check the IO Check (71-59) of PS83 and the operation. Then repair or replace it when there is any abnormality. 6. Replace PS83. 7. Replace M58. 8. Replace PCB2. (Connector layout drawing in board: L.2.21.2 SD drive board (PCB2)) 9. Replace PCB1. (Connector layout drawing in board: L.2.21.1 SD control board (PCB1)),"1. Check the booklet holding unit drive section, and if there is any abnormality, clean or repair it. 2. Check the connector connection between PCB2 and M58, PCB1 and PS83, and the wiring. Then, repair them when there is any abnormality. (Wiring diagram: SD-513 (2/2): 10-B) (Wiring diagram: SD-513 (2/2): 17-O) 3. Check the connector connection between PCB2 and PCB1, and the wiring. Then repair it when there is any abnormality. 4. Check the IO Check (71-47) and others of M58 and the coupling of the gear, and repair or replace it when there is any abnormality.","DIPSW7-0, DIPSW7-1, DIPSW7-3, DIPSW54-7","The uses of the fold & staple, multi half-fold, fore-edge trimming, and staple error (non-staple) detection are unavailable."
C-1625,SD: SD-513 abnormality,"After the CD alignment motor/Lw (M63) starts the home position search operation, the CD alignment plate home sensor/Lw (PS97) does not become active within a specified period of time.",when an alert occurs The main body and the option stop immediately.,• CD alignment plate home sensor/Lw (PS97) • CD alignment motor/Lw (M63) • SD control board (PCB1),Press the help key to activate and deactivate the sub power switch (SW2) of the main body.,"- When you isolate the faulty part, the limited use is available. - The message """"Please call service"""" and """"Press [Help] to disengage"""" are displayed alternately on the touch panel. - When you press the help key, the message """"Please turn on power again"""" is displayed on the touch panel.","1. Check the CD alignment drive section, and if there is any abnormality, clean or repair it. 2. Check the connector connection between PCB1, M63 and PS97, and the wiring. Then, repair them when there is any abnormality. (Wiring diagram: SD-513 (1/2): 16-K) (Wiring diagram: SD-513 (1/2): 14-B) 3. Check the IO Check (71-25) and others of M63 and the coupling of the gear, and repair or replace it when there is any abnormality. 4. Check the IO Check (71-23) of PS97 and the operation. Then repair or replace it when there is any abnormality. 5. Replace PS97. 6. Replace M63. 7. Replace PCB1. (Connector layout drawing in board: L.2.21.1 SD control board (PCB1))","DIPSW7-0, DIPSW7-1, DIPSW7-2, DIPSW7-3, DIPSW54-3, DIPSW54-7","The uses of the fold & staple, multi half-fold, multi tri-fold, fore-edge trimming, reverse stacker, slitter, and staple error (non-staple) detection are unavailable."
